"","Date","y","x","c","y_1","x_1","c_1"
"2",2019-02-13,NA,10.7365077228741,6.50173212531711,44.397507338967,7.6266881398224,5.83846500869151
"3",2019-02-14,NA,8.51142423303718,5.71451138277683,NA,10.7365077228741,6.50173212531711
"4",2019-02-15,NA,7.14959368092356,6.58665661809828,NA,8.51142423303718,5.71451138277683
"5",2019-02-16,42.8429615992006,9.27244536740613,5.99207951060575,NA,7.14959368092356,6.58665661809828
"6",2019-02-17,39.276416856929,10.5436670914314,8.26530714702408,42.8429615992006,9.27244536740613,5.99207951060575
"7",2019-02-18,NA,10.0758453468317,7.78303426277323,39.276416856929,10.5436670914314,8.26530714702408
"8",2019-02-19,NA,9.83110218546024,7.85593279518853,NA,10.0758453468317,7.78303426277323
"9",2019-02-20,34.7688979383446,10.6405942632052,7.34816855662348,NA,9.83110218546024,7.85593279518853
"10",2019-02-21,NA,11.7190160870344,8.51921821967529,34.7688979383446,10.6405942632052,7.34816855662348
"11",2019-02-22,36.1588975736965,9.26895289408998,6.49406810096985,NA,11.7190160870344,8.51921821967529
"12",2019-02-23,NA,10.9389735236847,6.1618722948819,36.1588975736965,9.26895289408998,6.49406810096985
"13",2019-02-24,NA,10.66549849554,7.97275031226214,NA,10.9389735236847,6.1618722948819
"14",2019-02-25,36.335239433751,9.99340580228431,6.34249122475517,NA,10.66549849554,7.97275031226214
"15",2019-02-26,35.9242790685497,11.2618470412859,6.37824206258683,36.335239433751,9.99340580228431,6.34249122475517
"16",2019-02-27,34.9954652673919,11.5706972057164,6.20175258620472,35.9242790685497,11.2618470412859,6.37824206258683
"17",2019-02-28,32.7369011432071,12.0633010887944,6.23044527800267,34.9954652673919,11.5706972057164,6.20175258620472
"18",2019-03-01,36.2638744243927,10.7404904007624,6.27849801652411,32.7369011432071,12.0633010887944,6.23044527800267
"19",2019-03-02,34.3908764228206,11.1464176500628,7.06381283539885,36.2638744243927,10.7404904007624,6.27849801652411
"20",2019-03-03,NA,10.8689344582426,6.58862272658011,34.3908764228206,11.1464176500628,7.06381283539885
"21",2019-03-04,NA,9.91726767433987,6.14119821953077,NA,10.8689344582426,6.58862272658011
"22",2019-03-05,33.9206554849949,11.7158668615096,7.8783383800531,NA,9.91726767433987,6.14119821953077
"23",2019-03-06,33.529583211465,11.0196602496099,6.75500518646641,33.9206554849949,11.7158668615096,7.8783383800531
"24",2019-03-07,34.0338389787298,10.4551457489668,6.50919476657321,33.529583211465,11.0196602496099,6.75500518646641
"25",2019-03-08,NA,10.7565444751522,6.52710795042974,34.0338389787298,10.4551457489668,6.50919476657321
"26",2019-03-09,34.5553113665223,10.7680067588317,7.34444329465884,NA,10.7565444751522,6.52710795042974
